SMILES,tasks
CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1ccc3c(c1)OCO3)NC(=O)c1cccnc1)CC1(CCC1)O2,BACE
COCCOc1nc(N)c2[nH]c(=O)n(Cc3cccc(CC(=O)OC)c3)c2n1,Lipo
COc1cccc(-c2cccc(C34CCCCC3OC(N)=N4)c2)c1,BACE
O=c1[nH]c2cc(Cl)ccc2o1,BBBP:ClinTox:ESOL:Lipo
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2[NH+](C)C1,ClinTox
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,ClinTox
c1ccc2ccccc2c1,ESOL:FreeSolv:Lipo
CC(C)c1cccc(C(C)C)c1OCOP(=O)([O-])[O-],ClinTox
N#Cc1nc(N2CCCC2)c(N)c(N2CCOCC2)n1,Lipo
N=C(N)Nc1ccc(C(=O)Oc2ccc(Cl)cc2)cc1,Lipo
O=c1[nH]nc2cc(CO)c3ccc(-c4ccc[nH]4)cc3n12,Lipo
Cc1cc(C)cc(OCC2CNC(=O)O2)c1,BBBP:ClinTox
O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)n1c(=O)[nH]c2ccccc21,Lipo
CS(=O)(=O)c1ccc2nc(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)CC3)sc2c1,Lipo
Cc1cc2cc(n1)NCCCCOc1cccc(c1)CC(C(O)C[NH2+]Cc1cccc(C(C)C)c1)NC2=O,BACE
CCC(C)C1(NC(C)=O)CCN(C(C)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(O)C[NH2+]2)C1=O,BACE
CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,ClinTox
Oc1cccc2ncccc12,ESOL
COc1ccc(C=O)cc1,ESOL
O=C(NC1Cc2ccccc2N(CC(=O)N2CCC(O)CC2)C1=O)c1cc2cc(Cl)sc2[nH]1,Lipo
Clc1ccc(N2CCN(C/C=C/c3ccccc3)CC2)nn1,BBBP
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(O[C@H]2CCCNC2)ccc1Cl,Lipo
OCCN1CCN(CC/C=C2/c3ccccc3COc3ccc(Cl)cc32)CC1,BBBP
c1ccncc1,ESOL:FreeSolv
Oc1cc(Cl)c(Cl)cc1Cl,ESOL
O=C(c1ccccc1)C(O)c1ccccc1,ESOL:Lipo
O=[Si](O)O,ClinTox
CNC(=O)c1cc(-c2nc(N3CCOCC3)cc(C3(S(C)(=O)=O)CC3)n2)c2cc[nH]c2c1,Lipo
COc1c(N2CCO[C@@H](CN(C)C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Lipo
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,ClinTox:Lipo
C[C@@H]1CN(CC2(C(N)=O)CC2)CCN1S(=O)(=O)c1ccc(C(C)(O)C(F)(F)F)cc1,Lipo
Cc1nc2nc(NC(=O)c3ccc(F)cc3)nn2c(O)c1Cc1ccccc1,Lipo
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,ClinTox
CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F,Lipo
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)C)c2)CCC(C#N)CC1,BACE
COc1ccc(N(C(=O)c2ccccc2)C(C(=O)NC[C@@H](C)O)c2ccccc2F)c(OC)c1,Lipo
Cn1c(N)nc(C2CC2c2ccc(-c3cccc(CCO)c3)cc2)cc1=O,BACE
CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CCNCC1,Lipo
Cc1cc(C(=O)Cn2cc(C(F)(F)F)ccc2=O)c(C)n1Cc1ccccc1,Lipo
COc1ccccc1C(=O)Nc1nc2ccccc2[nH]1,Lipo
CCCC[NH+](CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,ClinTox
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,ESOL
C#CC(C)OC(=O)Nc1cccc(Cl)c1,ESOL
O=C1CCOc2nc(C#CC3CCCC3)ccc21,Lipo
CCCCCNC(=[NH2+])N/N=C/c1c[nH]c2ccc(OC)cc12,ClinTox
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,Lipo
COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,BBBP
Cc1sc(N2CCN(C)CC2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,Lipo
Clc1c(Cl)c(Cl)c2nccnc2c1Cl,ESOL
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,ESOL
CCOC(=O)C=Cc1ccccc1,ESOL
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,ESOL
CCN(CC)c1ccccc1,ESOL
Clc1ccc(C2CC=CCNC2)cc1Cl,Lipo
CC(=O)NC(Cc1ccccc1)C(O)C[NH2+]C1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,BACE
CC(C)C[C@H](CO)Nc1nc(SCc2ccncc2)nc2nc(N)sc12,Lipo
Clc1cc(Cl)c(Cl)cc1Cl,ESOL:FreeSolv
CCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,Lipo
CCn1cnc(-c2ccccc2)c1-c1nc2c(N)ncnc2s1,Lipo
c1ccc(NNc2ccccc2)cc1,ESOL
NC(=O)CCl,ESOL
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-],ClinTox
Cc1nc(-c2ccc(CN3CCC(N(C)C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)cc2)no1,Lipo
CN(C(=O)Cc1ccc(O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,Lipo
O=C1NC(c2ccc(Br)cc2)Nc2ccccc21,Lipo
CCCCC(F)(F)[C@@]1(O)CC[C@@H]2[C@H](CCCCCCC(=O)[O-])C(=O)C[C@H]2O1,ClinTox
NC1=NC(c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)(F)F)c2)c2ccccc21,BACE
CC1(C)Cc2ccc(-c3cncc(Cl)c3)cc2C2(COC(N)=N2)C1,BACE
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)C[NH2+]C1(c2cccc(C(C)(C)CO)c2)CCCCC1,BACE
CN(C)c1cccc2cc(S(=O)(=O)[O-])ccc12,ClinTox
CC#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,Lipo
CC(C)NS(=O)(=O)CCN1C(=O)c2ccccc2C1=O,BBBP
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1cccc(Cl)c1,Lipo
C[N@@H+](Cc1cccc(CCc2cccnc2N)c1)Cc1ccco1,BACE
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,BBBP:Lipo
CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4ccccn4)cc32)N=C1N,BACE
O=C([O-])CN(CC[NH+](CC(=O)[O-])CC(=O)[O-])CC[NH+](CC(=O)[O-])CC(=O)[O-],ClinTox
Clc1ccccc1I,ESOL
Cc1ccc(S(=O)(=O)Nc2c(C(=O)N(C)C3CCCCC3)cnn2-c2ccccc2)cc1,Lipo
CCOC(=O)c1ccccc1-c1csc(NS(=O)(=O)c2ccc(Cl)cc2)n1,Lipo
Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,FreeSolv
Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,Lipo
Cn1c(=O)n(Cc2ccc(C(=O)O)cc2)c(=O)c2cc(C#CCc3ccccc3)ccc21,Lipo
Cn1c(N)nc(C2CC2c2ccc(-c3cccs3)cc2)cc1=O,BACE
C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccncc2C#N)cn1,Lipo
O=c1cc[nH]nc1,BBBP
CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21,BBBP
CCCc1c(C(=O)Nc2ccc(F)cc2C)cnn1-c1ccccc1,Lipo
COC(F)(F)C(F)Br,BBBP
C=C(C)C,ESOL:FreeSolv
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O.[Na],BBBP
COc1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)C2=CN(CC(=O)OC(C)C)C(C)=C(C(C)=O)[C@H]2C)c1,BACE
CCS(=O)(=O)c1ccc(F)cc1,BBBP
CC(=O)Nc1c(Cl)cc(CNC(=[NH2+])NC(=O)Cn2ccc3cc(C#N)ccc32)cc1Cl,BACE
N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,ClinTox
Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,BBBP
COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(N5CCOCC5)c4)ccc3C)c2cc1OCCN1CCCCC1,Lipo
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3ccccc3)CC2)CC1,Lipo
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,Lipo
c1cc2c(cc1-c1cnc3n1CCC3)OCCO2,Lipo
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,BBBP
CC(CC(O)C(COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)NC(C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NC(C(=O)NCc1ccccc1)C(C)C,BACE
Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)[nH]c1=O,Lipo
Cc1ccc(S(=O)(=O)Nc2ccc(/C=C/C(=O)Nc3ccccc3N)cc2)cc1,Lipo
CCC(C)=O,BBBP:ESOL
COC(=O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,Lipo
O=C(COCc1ccccn1)N1CCN(c2ccc(Cl)cc2Cl)CC1,Lipo
CN(C)C1CCc2[nH]c3ccccc3c2C1,BBBP
CCCCN(C)C(=O)n1cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C[NH2+]Cc2cccc(OC)c2)c2cc(C(=O)[O-])ccc21,BACE
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,Lipo
Cn1cc(C#N)cc1-c1c2c(=O)n(CC#CCn3cncn3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,Lipo
CC1CC2(CC[NH+]1Cc1cccc(-c3ccccc3Cl)c1)CNS(=O)(=O)N2c1cccc(F)c1,BACE
C[NH+](C)CCOC(c1ccc(Cl)cc1)c1ccccn1,ClinTox
CC(C)c1noc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)[C@H](C)C2)n1,Lipo
CC1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CC2CC2C(N)=N1,BACE
CC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,Lipo
Cc1ccccc1Nc1ncnc2ccccc12,Lipo
O=c1[nH]c(S)nc2[nH]cnc12,Lipo
CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,Lipo
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,BBBP:Lipo
