,SMILES,tasks,BRICS
0,CC(C)(C)Cc1cnc2c(c1)C([NH2+]CC(O)C(Cc1ccc3c(c1)OCO3)NC(=O)c1cccnc1)CC1(CCC1)O2,BACE,"{'[5*]N[5*]', '[8*]CC(C)(C)C', '[16*]c1cccnc1', '[1*]C([6*])=O', '[5*][NH2+]C1CC2(CCC2)Oc2ncc([16*])cc21', '[16*]c1ccc2c(c1)OCO2', '[4*]CC(O)C([4*])C[8*]'}"
1,COCCOc1nc(N)c2[nH]c(=O)n(Cc3cccc(CC(=O)OC)c3)c2n1,Lipo,"{'[9*]n1c(=O)[nH]c2c(N)nc([14*])nc21', '[16*]c1cccc([16*])c1', '[3*]OC', '[4*]CC[4*]', '[3*]O[3*]', '[8*]C[8*]', '[1*]C(=O)C[8*]'}"
2,COc1cccc(-c2cccc(C34CCCCC3OC(N)=N4)c2)c1,BACE,"{'[16*]c1cccc([16*])c1', '[3*]OC', '[13*]C12CCCCC1OC(N)=N2'}"
3,O=c1[nH]c2cc(Cl)ccc2o1,BBBP:ClinTox:ESOL:Lipo,{'O=c1[nH]c2cc(Cl)ccc2o1'}
4,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2[NH+](C)C1,ClinTox,"{'[5*]N[5*]', '[1*]C([6*])=O', '[4*][C@@H](CC)CO', '[15*][C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2[NH+](C)C1'}"
5,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,ClinTox,"{'[8*]C([8*])CC(C)=O', '[16*]c1c([O-])c2ccccc2oc1=O', '[16*]c1ccccc1'}"
6,c1ccc2ccccc2c1,ESOL:FreeSolv:Lipo,{'c1ccc2ccccc2c1'}
7,CC(C)c1cccc(C(C)C)c1OCOP(=O)([O-])[O-],ClinTox,"{'[8*]C(C)C', '[3*]OCOP(=O)([O-])[O-]', '[16*]c1cccc([16*])c1[16*]'}"
8,N#Cc1nc(N2CCCC2)c(N)c(N2CCOCC2)n1,Lipo,"{'[5*]N1CCCC1', '[5*]N1CCOCC1', '[14*]c1nc(C#N)nc([14*])c1N'}"
9,N=C(N)Nc1ccc(C(=O)Oc2ccc(Cl)cc2)cc1,Lipo,"{'[5*]NC(=N)N', '[16*]c1ccc([16*])cc1', '[16*]c1ccc(Cl)cc1', '[1*]C([6*])=O', '[3*]O[3*]'}"
10,O=c1[nH]nc2cc(CO)c3ccc(-c4ccc[nH]4)cc3n12,Lipo,"{'[8*]CO', '[14*]c1ccc[nH]1', '[16*]c1ccc2c([16*])cc3n[nH]c(=O)n3c2c1'}"
