model,lower,rating,upper,error_y,error_y_minus,rating_rounded,ROC-AUC,Loss,Avg. Error,Average Precision,Pearson R,Spearman R,R^2,MSE,MAE
BioT5_plus,1059.344113766177,1061.3919066144836,1064.3925920855088,3.0006854710252355,2.0477928483064716,1061.39,87.358730414264,0.3352142888714292,0.4712353299199511,74.90679552440547,0.6539972187435551,0.6600904262647684,0.40833093600344295,1.0568536282936287,0.7441292315617222
BioT5,1056.6030852501856,1058.7838485623088,1061.4363023043752,2.6524537420664274,2.18076331212319,1058.78,87.37146872746813,0.3336827399719943,0.4715297316058205,74.63139369668875,0.6540541981675031,0.6584449883424461,0.4089270862673785,1.0573683957165996,0.7442855333116151
LlaSMol,1036.17660199711,1039.6668154290546,1042.1490294500168,2.4822140209621466,3.4902134319445395,1039.67,86.5217092067987,0.33986048727967266,0.4730297987754904,73.27109806028427,0.654659202158831,0.6607391674195368,0.40934360997735225,1.054041478273151,0.7459345977912958
GPT-4o-Generic,1030.201109816257,1032.3428245191135,1033.8884581964635,1.545633677349997,2.1417147028564614,1032.34,85.68480643030443,0.34132325378287204,0.4722590722794626,72.3883192220214,0.6572402009761508,0.6619881648766499,0.4122200285395895,1.048590169038388,0.7418983136693321
TextChemT5,1029.8164871915449,1032.1189626284897,1035.7966230780473,3.6776604495576066,2.30247543694486,1032.12,87.07411229262921,0.3410057811357673,0.47467194582874633,75.29526146785501,0.6516879040315454,0.6566340191010376,0.4066102066184469,1.0571240162791091,0.7458403052794206
Gemma2-9B-Frags-Drug,1027.2318830529682,1030.862148981203,1033.7375245120402,2.8753755308371183,3.6302659282348486,1030.86,85.54252884244504,0.3425879781798606,0.4753080806573366,72.43479379571184,0.6531113384404321,0.6570686253056933,0.40682849105570473,1.0623500372667627,0.7472284008909106
Gemma2-9B-Frags-Chem,1027.145156092429,1030.0430610250905,1033.369401942091,3.3263409170003797,2.897904932661504,1030.04,85.61945526562333,0.341632225342713,0.47511310685158803,72.31228078238682,0.6524310821709184,0.65740606030272,0.4058834750625616,1.0610862967981443,0.7471107788605377
Llama3.1-70B-Chem,1019.1790844662762,1021.2811272620122,1023.0509498431098,1.7698225810976282,2.102042795735997,1021.28,85.4309277529617,0.3443783089660829,0.4749984193228123,72.52940881460357,0.6526407487901704,0.6559072401568706,0.4075164378673097,1.056164208707666,0.7459218903075554
Llama3.1-70B-Generic,1018.2246628951032,1020.8256692560541,1022.1399169477538,1.3142476916997339,2.601006360950919,1020.83,85.61801669698235,0.3443823764929208,0.47390719731218506,72.37315029090394,0.6527371075334361,0.6569392794207863,0.4078980544143727,1.0539141528853861,0.7438873857832738
MolT5,1017.0682084570151,1020.7306031561166,1022.134473475461,1.4038703193444917,3.662394699101469,1020.73,86.40564700597928,0.33989254558599663,0.4750800716970232,75.25107353998918,0.6517578059662493,0.6550664762598282,0.40622346785314806,1.0644145340579498,0.7475066343162828
Gemma2-9B-Frags-Generic,1016.9292734594486,1019.9802996564213,1023.2789385688264,3.298638912405181,3.051026196972657,1019.98,85.5497479092325,0.342029217551504,0.47620174090863077,72.45469493820573,0.6512707977491079,0.6572541326813374,0.40582094453076206,1.0635222852561266,0.7489394000418265
Llama3.1-70B-Drug,1018.1267708929862,1019.7819321701757,1020.9783875711437,1.1964554009680342,1.6551612771894497,1019.78,85.59350517541334,0.34291250104567633,0.47101412930966374,72.43037285063971,0.65523378342304,0.6600312567166055,0.4121882176377318,1.0422273745655406,0.7402455704331845
Llama3.1-405B-Generic,1018.1383437329374,1019.5599125626534,1022.5793252180412,3.0194126553877823,1.4215688297159659,1019.56,85.46894891792311,0.342203232401021,0.4711934487517252,72.04753273002045,0.658033335007316,0.6634594174367903,0.41558797899517386,1.0376815731873579,0.7381727715683264
